oblast,raion,hromada,level,started_at,finished_at,source,duration_min
Kyiv City,,,oblast,2022-03-29 09:55:30+00:00,2022-03-29 12:08:03+00:00,official,132.55
Kyiv City,,,oblast,2022-03-29 12:21:23+00:00,2022-03-29 14:45:31+00:00,official,144.13333333333333
Kyiv City,,,oblast,2022-03-29 17:24:55+00:00,2022-03-29 18:08:49+00:00,official,43.9
Kyiv City,,,oblast,2022-03-29 20:05:30+00:00,2022-03-29 21:13:21+00:00,official,67.85
Kyiv City,,,oblast,2022-03-29 22:04:00+00:00,2022-03-29 22:29:48+00:00,official,25.8
Kyiv City,,,oblast,2022-03-30 02:14:38+00:00,2022-03-30 03:33:31+00:00,official,78.88333333333334
Kyiv City,,,oblast,2022-03-30 03:56:02+00:00,2022-03-30 04:35:10+00:00,official,39.13333333333333
Kyiv City,,,oblast,2022-03-30 05:05:18+00:00,2022-03-30 05:37:32+00:00,official,32.233333333333334
Kyiv City,,,oblast,2022-03-30 08:41:47+00:00,2022-03-30 08:53:38+00:00,official,11.85
Kyiv City,,,oblast,2022-03-30 14:26:16+00:00,2022-03-30 15:58:03+00:00,official,91.78333333333333
Kyiv City,,,oblast,2022-03-30 19:17:16+00:00,2022-03-30 20:33:40+00:00,official,76.4
Kyiv City,,,oblast,2022-03-31 13:42:06+00:00,2022-03-31 14:37:23+00:00,official,55.28333333333333
Kyiv City,,,oblast,2022-03-31 17:35:18+00:00,2022-03-31 18:17:12+00:00,official,41.9
Kyiv City,,,oblast,2022-03-31 18:53:57+00:00,2022-03-31 20:03:54+00:00,official,69.95
Kyiv City,,,oblast,2022-03-31 21:31:42+00:00,2022-03-31 22:14:41+00:00,official,42.983333333333334
Kyiv City,,,oblast,2022-04-01 16:35:53+00:00,2022-04-01 17:04:19+00:00,official,28.433333333333334
Kyiv City,,,oblast,2022-04-02 00:37:20+00:00,2022-04-02 03:59:00+00:00,official,201.66666666666666
Kyiv City,,,oblast,2022-04-02 13:55:50+00:00,2022-04-02 15:01:13+00:00,official,65.38333333333334
Kyiv City,,,oblast,2022-04-03 01:21:03+00:00,2022-04-03 03:41:32+00:00,official,140.48333333333332
Kyiv City,,,oblast,2022-04-03 08:02:51+00:00,2022-04-03 09:01:12+00:00,official,58.35
Kyiv City,,,oblast,2022-04-03 17:10:13+00:00,2022-04-03 17:52:10+00:00,official,41.95
Kyiv City,,,oblast,2022-04-03 18:48:07+00:00,2022-04-03 19:31:51+00:00,official,43.733333333333334
Kyiv City,,,oblast,2022-04-04 00:26:35+00:00,2022-04-04 01:16:04+00:00,official,49.483333333333334
Kyiv City,,,oblast,2022-04-04 04:42:26+00:00,2022-04-04 05:02:41+00:00,official,20.25
Kyiv City,,,oblast,2022-04-04 15:17:06+00:00,2022-04-04 17:12:31+00:00,official,115.41666666666667
Kyiv City,,,oblast,2022-04-04 19:40:14+00:00,2022-04-04 20:54:01+00:00,official,73.78333333333333
Kyiv City,,,oblast,2022-04-05 02:36:41+00:00,2022-04-05 03:12:59+00:00,official,36.3
Kyiv City,,,oblast,2022-04-05 13:02:52+00:00,2022-04-05 13:38:47+00:00,official,35.916666666666664
Kyiv City,,,oblast,2022-04-05 19:11:48+00:00,2022-04-05 19:58:49+00:00,official,47.016666666666666
Kyiv City,,,oblast,2022-04-06 01:46:37+00:00,2022-04-06 01:59:04+00:00,official,12.45
Kyiv City,,,oblast,2022-04-06 09:59:28+00:00,2022-04-06 10:31:54+00:00,official,32.43333333333333
Kyiv City,,,oblast,2022-04-06 21:01:58+00:00,2022-04-06 21:20:42+00:00,official,18.733333333333334
Kyiv City,,,oblast,2022-04-06 23:16:52+00:00,2022-04-06 23:31:42+00:00,official,14.833333333333334
Kyiv City,,,oblast,2022-04-07 10:04:32+00:00,2022-04-07 10:31:18+00:00,official,26.766666666666666
Kyiv City,,,oblast,2022-04-07 17:00:59+00:00,2022-04-07 17:31:25+00:00,official,30.433333333333334
Kyiv City,,,oblast,2022-04-08 05:39:02+00:00,2022-04-08 06:55:50+00:00,official,76.8
Kyiv City,,,oblast,2022-04-08 19:13:06+00:00,2022-04-08 19:40:35+00:00,official,27.483333333333334
Kyiv City,,,oblast,2022-04-09 18:20:02+00:00,2022-04-09 19:17:13+00:00,official,57.18333333333333
Kyiv City,,,oblast,2022-04-10 12:17:38+00:00,2022-04-10 13:31:34+00:00,official,73.93333333333334
Kyiv City,,,oblast,2022-04-11 00:44:10+00:00,2022-04-11 01:26:01+00:00,official,41.85
Kyiv City,,,oblast,2022-04-11 20:02:24+00:00,2022-04-11 21:00:59+00:00,official,58.583333333333336
Kyiv City,,,oblast,2022-04-11 23:36:47+00:00,2022-04-12 00:06:39+00:00,official,29.866666666666667
Kyiv City,,,oblast,2022-04-12 08:21:07+00:00,2022-04-12 08:43:38+00:00,official,22.516666666666666
